FID,OID,lat,lon
410,0,35.375,103.875
411,0,35.375,104.125
412,0,35.375,104.375
413,0,35.375,104.625
414,0,35.375,104.875
415,0,35.375,105.125
416,0,35.375,105.375
417,0,35.375,105.625
418,0,35.375,105.875
419,0,35.375,106.125
420,0,35.375,106.375
421,0,35.375,106.625
422,0,35.375,106.875
423,0,35.375,107.125
424,0,35.375,107.375
425,0,35.375,107.625
426,0,35.375,107.875
427,0,35.375,108.125
428,0,35.375,108.375
429,0,35.375,108.625
430,0,35.375,108.875
431,0,35.375,109.125
432,0,35.375,109.375
433,0,35.375,109.625
434,0,35.375,109.875
435,0,35.375,110.125
436,0,35.375,110.375
437,0,35.375,110.625
438,0,35.375,110.875
439,0,35.375,111.125
440,0,35.375,111.375
441,0,35.375,111.625
442,0,35.375,111.875
443,0,35.375,112.125
444,0,35.375,112.375
445,0,35.375,112.625
446,0,35.375,112.875
447,0,35.375,114.375
448,0,35.375,114.625
449,0,35.375,114.875
450,0,35.625,99.375
451,0,35.625,99.625
452,0,35.625,99.875
453,0,35.625,100.125
454,0,35.625,100.375
455,0,35.625,100.625
456,0,35.625,100.875
457,0,35.625,101.125
458,0,35.625,101.375
459,0,35.625,101.625
460,0,35.625,101.875
461,0,35.625,102.125
462,0,35.625,102.375
463,0,35.625,102.625
464,0,35.625,102.875
465,0,35.625,103.125
466,0,35.625,103.375
467,0,35.625,103.625
468,0,35.625,103.875
469,0,35.625,104.125
470,0,35.625,104.375
471,0,35.625,104.625
472,0,35.625,104.875
473,0,35.625,105.125
474,0,35.625,105.375
475,0,35.625,105.625
476,0,35.625,105.875
477,0,35.625,106.125
478,0,35.625,106.375
479,0,35.625,106.625
480,0,35.625,106.875
481,0,35.625,107.125
482,0,35.625,107.375
483,0,35.625,107.625
484,0,35.625,107.875
485,0,35.625,108.125
486,0,35.625,108.375
487,0,35.625,108.625
488,0,35.625,108.875
489,0,35.625,109.125
490,0,35.625,109.375
491,0,35.625,109.625
492,0,35.625,109.875
493,0,35.625,110.125
494,0,35.625,110.375
495,0,35.625,110.625
496,0,35.625,110.875
497,0,35.625,111.125
498,0,35.625,111.375
499,0,35.625,111.625
500,0,35.625,111.875
501,0,35.625,112.125
502,0,35.625,112.375
503,0,35.625,112.625
504,0,35.625,112.875
505,0,35.625,113.125
506,0,35.625,114.625
507,0,35.625,114.875
508,0,35.625,115.125
509,0,35.625,115.375
510,0,35.875,99.125
511,0,35.875,99.375
512,0,35.875,99.625
513,0,35.875,100.625
514,0,35.875,100.875
515,0,35.875,101.125
516,0,35.875,101.375
517,0,35.875,101.625
518,0,35.875,101.875
519,0,35.875,102.125
520,0,35.875,102.375
521,0,35.875,102.625
522,0,35.875,102.875
523,0,35.875,103.125
524,0,35.875,103.375
525,0,35.875,103.625
526,0,35.875,103.875
527,0,35.875,104.125
528,0,35.875,104.375
529,0,35.875,104.625
530,0,35.875,104.875
531,0,35.875,105.125
532,0,35.875,105.375
533,0,35.875,105.625
534,0,35.875,105.875
535,0,35.875,106.125
536,0,35.875,106.375
537,0,35.875,106.625
538,0,35.875,106.875
539,0,35.875,107.125
540,0,35.875,107.375
541,0,35.875,107.625
542,0,35.875,107.875
543,0,35.875,108.125
544,0,35.875,108.375
545,0,35.875,108.625
546,0,35.875,108.875
547,0,35.875,109.125
548,0,35.875,109.375
549,0,35.875,109.625
550,0,35.875,109.875
551,0,35.875,110.125
552,0,35.875,110.375
553,0,35.875,110.625
554,0,35.875,110.875
555,0,35.875,111.125
556,0,35.875,111.375
557,0,35.875,111.625
558,0,35.875,111.875
559,0,35.875,112.125
560,0,35.875,112.375
561,0,35.875,112.625
562,0,35.875,112.875
563,0,35.875,115.625
564,0,35.875,115.875
565,0,35.875,117.125
566,0,35.875,117.375
567,0,35.875,117.625
568,0,36.125,100.375
569,0,36.125,100.625
570,0,36.125,100.875
571,0,36.125,101.125
572,0,36.125,101.375
573,0,36.125,101.625
574,0,36.125,101.875
575,0,36.125,102.125
576,0,36.125,102.375
577,0,36.125,102.625
578,0,36.125,102.875
579,0,36.125,103.125
580,0,36.125,103.375
581,0,36.125,103.625
582,0,36.125,103.875
583,0,36.125,104.125
584,0,36.125,104.375
585,0,36.125,104.625
586,0,36.125,104.875
587,0,36.125,105.125
588,0,36.125,105.375
589,0,36.125,105.625
590,0,36.125,105.875
591,0,36.125,106.125
592,0,36.125,106.375
593,0,36.125,106.625
594,0,36.125,106.875
595,0,36.125,107.125
596,0,36.125,107.375
597,0,36.125,107.625
598,0,36.125,107.875
599,0,36.125,108.125
600,0,36.125,108.375
601,0,36.125,108.625
602,0,36.125,108.875
603,0,36.125,109.125
604,0,36.125,109.375
605,0,36.125,109.625
606,0,36.125,109.875
607,0,36.125,110.125
608,0,36.125,110.375
609,0,36.125,110.625
610,0,36.125,110.875
611,0,36.125,111.125
612,0,36.125,111.375
613,0,36.125,111.625
614,0,36.125,111.875
615,0,36.125,112.125
616,0,36.125,112.375
617,0,36.125,112.625
618,0,36.125,116.125
619,0,36.125,116.375
620,0,36.125,116.625
621,0,36.125,116.875
622,0,36.125,117.125
623,0,36.125,117.375
624,0,36.125,117.625
625,0,36.125,117.875
626,0,36.375,100.625
627,0,36.375,100.875
628,0,36.375,101.375
629,0,36.375,101.625
630,0,36.375,101.875
631,0,36.375,102.125
632,0,36.375,102.375
633,0,36.375,102.625
634,0,36.375,102.875
635,0,36.375,103.125
636,0,36.375,103.375
637,0,36.375,103.625
638,0,36.375,103.875
639,0,36.375,104.125
640,0,36.375,104.375
641,0,36.375,104.625
642,0,36.375,104.875
643,0,36.375,105.125
644,0,36.375,105.375
645,0,36.375,105.625
646,0,36.375,105.875
647,0,36.375,106.125
648,0,36.375,106.375
649,0,36.375,106.625
650,0,36.375,106.875
651,0,36.375,107.125
652,0,36.375,107.375
653,0,36.375,107.625
654,0,36.375,107.875
655,0,36.375,108.125
656,0,36.375,108.375
657,0,36.375,108.625
658,0,36.375,108.875
659,0,36.375,109.125
660,0,36.375,109.375
661,0,36.375,109.625
662,0,36.375,109.875
663,0,36.375,110.125
664,0,36.375,110.375
665,0,36.375,110.625
666,0,36.375,110.875
667,0,36.375,111.125
668,0,36.375,111.375
669,0,36.375,111.625
670,0,36.375,111.875
671,0,36.375,112.125
672,0,36.375,112.375
673,0,36.375,116.625
674,0,36.375,116.875
675,0,36.375,117.125
676,0,36.375,117.375
677,0,36.375,117.625
678,0,36.625,101.125
679,0,36.625,101.375
680,0,36.625,101.625
681,0,36.625,101.875
682,0,36.625,102.125
683,0,36.625,102.375
684,0,36.625,102.625
685,0,36.625,102.875
686,0,36.625,103.125
687,0,36.625,103.375
688,0,36.625,103.625
